ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price
12429,Ready to Move,,2,N,,,,3000000.0
12428,Ready to Move,,1,N,Soham Construction Pvt. Ltd.,,,1550000.0
12427,Ready to Move,,2,N,,,,2000000.0
12426,Ready to Move,,3,N,,,,1200000.0
12425,Ready to Move,Oct '17,2,N,,,1.0,1211250.0
12424,Ready to Move,,2,Y,,ABAMNC,,1300000.0
12423,Ready to Move,,2,N,MATHRE ENTERPRISE,,,1800000.0
12422,Ready to Move,,1,N,Shree Ganesh Builders & Developers,,,3500000.0
12421,Ready to Move,,5,N,,,,8500000.0
12420,Ready to Move,,3,N,The Wadhwa Group,,,2200000.0
12419,Under Construction,May '24,,Y,Mali Infra,,,2715125.0
12418,Ready to Move,,1,N,Shiv Shambho Construction,,,1700000.0
12417,Ready to Move,,1,N,Hindustan Enterprise,,,2700000.0
12416,Ready to Move,,2,N,Vaishnavi Developers,,,2100000.0
12415,Ready to Move,,4,N,Balaji Group,,,2200000.0
12414,Ready to Move,,3,N,Lok Group,,,4500000.0
12413,Ready to Move,,4,N,Madan Chikankar,,,3800000.0
12412,Ready to Move,,1,N,Shree Krishna Developer,,,2800000.0
12411,Ready to Move,,7,N,Balaji Constructions,,,4000000.0
12410,Ready to Move,,2,N,,,,3500000.0
12409,Ready to Move,,3,N,Famous Builders And Developers,,,1800000.0
12408,Ready to Move,,6,N,Sai Developer,,,4200000.0
12407,,,6,N,Tisai Builders and Developers,,,4600000.0
12406,Ready to Move,,1,Y,Balaji Constructions,ABAMNC,,4100000.0
12405,Ready to Move,,4,Y,,ABARWA,,3300000.0
12404,Under Construction,Dec '25,13,Y,Kohinoor Group,TMC,,3200000.0
12403,Ready to Move,,3,N,,,,2200000.0
12402,Ready to Move,,1,N,,,,2500000.0
12401,Ready to Move,,Ground,N,,,,2000000.0
12400,Ready to Move,,3,N,,KDMC,,3200000.0
12399,Ready to Move,,2,N,,,,3250000.0
12398,Ready to Move,,2,N,,,,1350000.0
12397,Ready to Move,,3,N,,,,2200000.0
12396,Ready to Move,,4,N,,,,2800000.0
12395,Ready to Move,,4,N,,,,9500000.0
12394,Ready to Move,,3,N,,,,3100000.0
12393,Ready to Move,,10,N,Rai Residency Pvt. Ltd.,,,5200000.0
12392,Ready to Move,,3,N,,,,6000000.0
12391,Ready to Move,,1,N,,,1.0,5400000.0
12390,Ready to Move,,1,N,,,,1225000.0
12389,Ready to Move,,3,N,,,,3100000.0
12388,Ready to Move,,2,N,Shiv Shambho Construction,KDMC,0.0,1400000.0
12387,Ready to Move,,Ground,N,,,,3700000.0
12386,Ready to Move,,6,N,,,,5500000.0
